campaign_id,bank_name,campaign_name,campaign_category,source_group,source_url,start_date,end_date,current_status,listing_status,fetch_status,comparison_eligible,classification_confidence,classification_reason,first_seen_at,last_seen_at,last_checked_at,finance_type,profit_share_rate_min,profit_share_rate_max,financing_amount_min,financing_amount_max,maturity_min_months,maturity_max_months,installment_count,allocation_fee_amount,allocation_fee_rate,allocation_fee_status,expense_status,expense_details,campaign_advantage,grace_period_months
55,Albaraka Türk,BAUHAUS Harcamalarınızda World’e Özel 3 Taksit Fırsatı!,card_campaign,Albaraka World Kampanyaları,https://albaraka.com.tr/tr/world-dunyasi/detay/bauhaus-harcamalarinizda-worlde-ozel-3-taksit-firsati,2026-07-01,2026-08-31,active,unknown,ok,1,0.94,Kart harcamasına taksit/vade farksız avantajı bulundu.,2026-07-31T05:05:07+00:00,2026-08-10T11:17:32+00:00,2026-08-10T11:17:32+00:00,,,,,,,,,,,,,,,
57,Albaraka Türk,BOSCH Harcamalarınızda World’e Özel 6 Taksit Fırsatı!,card_campaign,Albaraka World Kampanyaları,https://albaraka.com.tr/tr/world-dunyasi/detay/bosch-harcamalarinizda-worlde-ozel-6-taksit-firsati,2026-05-01,2026-06-24,expired,unknown,ok,1,0.94,Kart harcamasına taksit/vade farksız avantajı bulundu.,2026-07-31T05:05:07+00:00,2026-08-10T11:17:32+00:00,2026-08-10T11:17:32+00:00,,,,,,,,,,,,,,,
56,Albaraka Türk,Beymen Club Harcamalarınızda World’e Özel 6 Taksit Fırsatı!,card_campaign,Albaraka World Kampanyaları,https://albaraka.com.tr/tr/world-dunyasi/detay/beymen-club-harcamalarinizda-worlde-ozel-6-taksit-firsati,2026-06-01,2026-12-31,active,unknown,ok,1,0.94,Kart harcamasına taksit/vade farksız avantajı bulundu.,2026-07-31T05:05:07+00:00,2026-08-10T11:17:32+00:00,2026-08-10T11:17:32+00:00,,,,,,,,,,,,,,,
9,Albaraka Türk,Bilet.com ile Etkinlik Bileti Alımlarında İndirim!,discount_campaign,Genel Kampanyalar,https://albaraka.com.tr/tr/kampanyalar/detay/biletcom-ile-etkinlik-bileti-alimlarinda-indirim,2026-04-01,2026-12-31,active,unknown,ok,1,0.94,İndirim veya iade avantajı bulundu.,2026-07-31T05:05:07+00:00,2026-07-31T05:19:46+00:00,2026-07-31T05:19:46+00:00,,,,,,,,,,,,,,,
10,Albaraka Türk,Bilet.com ile Otel Rezervasyonlarında İndirim!,discount_campaign,Genel Kampanyalar,https://albaraka.com.tr/tr/kampanyalar/detay/biletcom-ile-otel-rezervasyonlarinda-indirim,2026-04-01,2026-12-31,active,unknown,ok,1,0.94,İndirim veya iade avantajı bulundu.,2026-07-31T05:05:07+00:00,2026-08-10T11:17:32+00:00,2026-08-10T11:17:32+00:00,,,,,,,,,,,,,,,
11,Albaraka Türk,Bilet.com ile Yunan Adaları Feribot Bileti Alımlarında İndirim!,discount_campaign,Genel Kampanyalar,https://albaraka.com.tr/tr/kampanyalar/detay/biletcom-ile-yunan-adalari-feribot-bileti-alimlarinda-indirim-1,2026-04-01,2026-12-31,active,unknown,ok,1,0.94,İndirim veya iade avantajı bulundu.,2026-07-31T05:05:07+00:00,2026-08-10T11:17:32+00:00,2026-08-10T11:17:32+00:00,,,,,,,,,,,,,,,
12,Albaraka Türk,Business Kart ile Konaklama Harcamanıza 500 TL’ye varan Worldpuan!,points_campaign,Genel Kampanyalar,https://albaraka.com.tr/tr/kampanyalar/detay/business-kart-ile-konaklama-harcamaniza-500-tlye-varan-worldpuan,2026-07-01,2026-07-31,active,unknown,ok,1,0.96,Puan avantajı bulundu.,2026-07-31T05:05:07+00:00,2026-07-31T05:19:46+00:00,2026-07-31T05:19:46+00:00,,,,,,,,,,,,,,,
58,Albaraka Türk,Civil Harcamalarınızda World’e Özel 6 Taksit Fırsatı!,card_campaign,Albaraka World Kampanyaları,https://albaraka.com.tr/tr/world-dunyasi/detay/civil-harcamalarinizda-worlde-ozel-6-taksit-firsati,2026-05-01,2026-12-31,active,unknown,ok,1,0.94,Kart harcamasına taksit/vade farksız avantajı bulundu.,2026-07-31T05:05:07+00:00,2026-08-10T11:17:32+00:00,2026-08-10T11:17:32+00:00,,,,,,,,,,,,,,,
59,Albaraka Türk,Continental Harcamalarınızda World’e Özel 6 Taksit Fırsatı!,card_campaign,Albaraka World Kampanyaları,https://albaraka.com.tr/tr/world-dunyasi/detay/continental-harcamalarinizda-worlde-ozel-6-taksit-firsati,2026-07-01,2026-08-31,active,unknown,ok,1,0.94,Kart harcamasına taksit/vade farksız avantajı bulundu.,2026-07-31T05:05:07+00:00,2026-08-10T11:17:32+00:00,2026-08-10T11:17:32+00:00,,,,,,,,,,,,,,,
60,Albaraka Türk,D&R Harcamalarınızda World’e Özel 7 Taksit Fırsatı!,card_campaign,Albaraka World Kampanyaları,https://albaraka.com.tr/tr/world-dunyasi/detay/dandr-harcamalarinizda-worlde-ozel-7-taksit-firsati,2026-05-01,2026-05-31,expired,unknown,ok,1,0.94,Kart harcamasına taksit/vade farksız avantajı bulundu.,2026-07-31T05:05:07+00:00,2026-08-10T11:17:32+00:00,2026-08-10T11:17:32+00:00,,,,,,,,,,,,,,,
