id,campaign_id,audience_type,audience_label,details,extracted_at
6357,296,individual_customer,Bireysel Müşteriler,,2026-08-10T13:45:46+00:00
6358,296,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
6359,297,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
6360,298,individual_customer,Bireysel Müşteriler,,2026-08-10T13:45:46+00:00
6361,298,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
6364,299,individual_customer,Bireysel Müşteriler,,2026-08-10T13:45:46+00:00
6365,299,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
6362,300,individual_customer,Bireysel Müşteriler,,2026-08-10T13:45:46+00:00
6363,300,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
6366,301,individual_customer,Bireysel Müşteriler,,2026-08-10T13:45:46+00:00
6367,301,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
6368,302,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
6369,303,individual_customer,Bireysel Müşteriler,,2026-08-10T13:45:46+00:00
6370,303,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
6373,304,individual_customer,Bireysel Müşteriler,,2026-08-10T13:45:46+00:00
6374,304,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
6371,305,individual_customer,Bireysel Müşteriler,,2026-08-10T13:45:46+00:00
6372,305,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
6376,306,individual_customer,Bireysel Müşteriler,,2026-08-10T13:45:46+00:00
6377,306,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
6378,307,business_customer,Ticari Müşteriler,,2026-08-10T13:45:46+00:00
6379,308,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
6380,308,individual_customer,Bireysel Müşteriler,,2026-08-10T13:45:46+00:00
6375,309,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
6381,310,individual_customer,Bireysel Müşteriler,,2026-08-10T13:45:46+00:00
6382,310,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
6383,311,individual_customer,Bireysel Müşteriler,,2026-08-10T13:45:46+00:00
6384,311,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
6385,312,individual_customer,Bireysel Müşteriler,,2026-08-10T13:45:46+00:00
6386,312,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
6387,313,individual_customer,Bireysel Müşteriler,,2026-08-10T13:45:46+00:00
6388,313,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
6389,314,individual_customer,Bireysel Müşteriler,,2026-08-10T13:45:46+00:00
6390,314,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
6391,315,individual_customer,Bireysel Müşteriler,,2026-08-10T13:45:46+00:00
6392,315,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
6393,316,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
6394,317,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
5926,321,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
5933,322,existing_customer,Mevcut Müşteriler,,2026-08-10T13:45:46+00:00
5934,322,individual_customer,Bireysel Müşteriler,,2026-08-10T13:45:46+00:00
5935,322,new_customer,Yeni Müşteriler,,2026-08-10T13:45:46+00:00
