campaign_id,minimum_transaction_amount,maximum_transaction_amount,installment_count,installment_cost_rate,installment_cost_text,evidence_text,extracted_at
77,,,7,,,Opmar Optik Harcamalarınızda World'e Özel 6 Taksit Fırsatı!,2026-08-10T13:45:46+00:00
78,,,4,,,Pegasus Uçuşlarınızda World'e Özel 4 Taksit Fırsatı!,2026-08-10T13:45:46+00:00
79,,,7,,,Saat&Saat Harcamalarınızda World’e Özel 7 Taksit Fırsatı!,2026-08-10T13:45:46+00:00
80,45000.0,69999.0,12,,,"Peşin, 3 taksitli veya 6 taksitli alışverişlerden kampanyaya uygun olarak ilk yapılan alışveriş üzerinden Worldpuan kazanacaktır.",2026-08-10T13:45:46+00:00
81,45000.0,69999.0,12,,,"Peşin, 3 taksitli veya 6 taksitli alışverişlerden kampanyaya uygun olarak ilk yapılan alışveriş üzerinden Worldpuan kazanacaktır.",2026-08-10T13:45:46+00:00
82,45000.0,69999.0,12,,,"Peşin, 3 taksitli veya 6 taksitli alışverişlerden kampanyaya uygun olarak ilk yapılan alışveriş üzerinden Worldpuan kazanacaktır.",2026-08-10T13:45:46+00:00
83,45000.0,69999.0,9,,,"1-31 Mayıs 2026 tarihleri arasında Tatilbudur.com, TatilBudur mobil uygulaması ,TatilBudur çağrı merkezi ve acenteler üzerinden tek seferde yapılacak peşin, 3 taksitli veya 6 taksitli alışverişlerde seçili yurt içi ve Kuzey Kıbrıs otel, yurt dışı tur rezervasyonlarında geçerli; 45.000 TL-69.999 TL arası harcamaya 2.500 TL, 70.000 TL - 119.999 TL arası harcamaya 5.000 TL, 120.000 TL ve üzeri harcamaya 7.500 TL Worldpuan!",2026-08-10T13:45:46+00:00
84,45000.0,69999.0,9,,,"1-30 Haziran 2026 tarihleri arasında Tatilbudur.com, TatilBudur mobil uygulaması ,TatilBudur çağrı merkezi ve acenteler üzerinden tek seferde yapılacak peşin, 3 taksitli veya 6 taksitli alışverişlerde seçili yurt içi ve Kuzey Kıbrıs otel, yurt dışı tur rezervasyonlarında geçerli; 45.000 TL-69.999 TL arası harcamaya 2.500 TL, 70.000 TL - 119.999 TL arası harcamaya 5.000 TL, 120.000 TL ve üzeri harcamaya 7.500 TL Worldpuan!",2026-08-10T13:45:46+00:00
85,45000.0,69999.0,9,,,"1-31 Temmuz 2026 tarihleri arasında tatilbudur.com, TatilBudur mobil uygulaması ve TatilBudur çağrı merkezinden tek seferde yapılacak peşin, 3 taksitli veya 6 taksitli alışverişlerde yurt içi ve Kuzey Kıbrıs otel rezervasyonlarında geçerli; 45.000 TL-69.999 TL arası harcamaya 2.500 TL, 70.000 TL - 119.999 TL arası harcamaya 5.000 TL, 120.000 TL ve üzeri harcamaya 7.500 TL Worldpuan kazanılmaktadır.",2026-08-10T13:45:46+00:00
86,,,6,,,Trendyol Harcamalarınızda World’e Özel 3 Taksit Fırsatı!,2026-08-10T13:45:46+00:00
