family_key,field,filled,total,coverage_percent
tarim_finansmani,collateral,0,25,0.0
tarim_finansmani,eligibility_condition,1,25,4.0
tarim_finansmani,financing_ratio,1,25,4.0
tarim_finansmani,maturity,6,25,24.0
tarim_finansmani,payment_structure,0,25,0.0
tarim_finansmani,pricing,0,25,0.0
tarim_finansmani,state_support,12,25,48.0
tarim_finansmani,target_segment,25,25,100.0
tarim_finansmani,transaction_structure,17,25,68.0
tarim_finansmani,usage_purpose,24,25,96.0
ticari_finansman,amount,4,76,5.3
ticari_finansman,collateral,0,76,0.0
ticari_finansman,eligibility_condition,0,76,0.0
ticari_finansman,financing_ratio,0,76,0.0
ticari_finansman,maturity,8,76,10.5
ticari_finansman,payment_structure,0,76,0.0
ticari_finansman,pricing,2,76,2.6
ticari_finansman,state_support,0,76,0.0
ticari_finansman,target_segment,76,76,100.0
ticari_finansman,transaction_structure,8,76,10.5
ticari_finansman,usage_purpose,40,76,52.6
