Banka,Kampanya Adı,Kampanya Kategorisi,Başlangıç Tarihi,Bitiş Tarihi,Katılım Kanalı,Kart / Müşteri Tipi,Resmî Kaynak Linki,Kontrol Tarihi,Geçerli Kartlar,Sektör / Üye İşyeri,Asgari Harcama Tutarı (TL),İlave / Ücretsiz Taksit Sayısı,Azami Taksit Sınırı,Vade Farkı Durumu,Örnek Harcama Senaryosu (5.000 TL / Taksit Dağılımı),Katılım Şartı (SMS / Mobil Onay),Geçerli Marka / Sektör,İndirim Türü,İndirim Oranı (%),Sabit İndirim Tutarı (TL),Asgari Sepet Tutarı (TL),Maksimum Kazanılabilir İndirim (TL),Kampanya Kod Şartı,Örnek Harcama Senaryosu (2.000 TL Sepette İndirim Kazancı),Kart Programı / Puan Türü,Geçerli Sektör,Kademeli Harcama Şartı,İşlem Başına Asgari Tutar (TL),Kazanılacak Puan / TL Karşılığı,Maksimum Puan Limiti,Puan Yükleme Tarihi,Puan Son Kullanım Tarihi,Örnek Harcama Senaryosu (Toplam Puan Kazanımı),Hedef Kitle (İlk Kez Müşteri Olanlar),Hoş Geldin Avantajı Türü,Sıfır Kâr Paylı / Masrafsız Finansman Üst Limiti (TL),Azami Vade,Ücretsiz EFT / Havale Süresi,Kart Aidat Muafiyeti Durumu,Örnek Senaryo (20.000 TL 6 Ay 0 Kâr Payı Maliyeti),Anlaşmalı Satıcı / Platform,Kapsanan Ürün Kategorisi,Peşin Fiyatına Taksit İmkanı,İndirimli Kâr Payı Oranı (%),Asgari - Azami Finansman Limiti (TL),Tahsis / Masraf Durumu,Örnek Senaryo (50.000 TL Alışveriş / 12 Ay Taksit Tutarı),Kampanyalı Kâr Payı Oranı (%),Standart Oran Farkı (İndirim Puanı),Tahsis Ücreti İndirimi / Muafiyeti,Kapsanan Tutar / Vade Bandı,Ek Ürün Koşulu,Erteleme İmkanı,Örnek Senaryo (100.000 TL 36 Ay Kampanyalı Taksit),Togg Model / Donanım Kapsamı,Kampanyalı Finansman Tutarı (TL),Kampanyalı Vade (Ay),Sübvansiyonlu Kâr Payı Oranı (%),Tahsis Ücreti,Kasko / Sigorta Koşulu,Örnek Senaryo (800.000 TL 12 Ay Togg Finansmanı Geri Ödeme),Anlaşmalı Acente / Diyanet Kapsamı,Vade Farksız Taksit Sayısı (Ay),Kampanyalı Kâr Payı Oranı (%)_Umre,Belge / Kayıt Şartı,Masraf Muafiyeti,Örnek Senaryo (60.000 TL 12 Ay Umre Finansmanı),Sigorta Türü,Prim İndirim Oranı (%),Hediye Puan / İade Tutarı (TL),Taksit İmkanı (Vade Farksız Taksit Sayısı),Asgari Prim Tutarı,Örnek Senaryo (15.000 TL Kasko Poliçesine Puan / İndirim Getirisi),Kampanya Konusu,İşlem Türü,Kazanım Şartı,Ödül Tutarı / Türü,Maksimum Kazanım Limiti,Örnek Senaryo,Finansman Amacı,Kampanyalı Kâr Payı (%),Azami Tutar ve Vade Sınırı,Fatura / Kurum Sözleşme Zorunluluğu,Ödeme Planı Türü,Azami Erteleme Süresi (Ay),Kâr Payı Hesaplama Tipi,Asgari - Azami Vade,Örnek Senaryo (100.000 TL için İlk 3 Ay Ödemesiz Taksit Planı),Finansman Türü (Konut / Taşıt),İndirimli Kâr Payı Oranı (%)_Paket,Paket Şartları,Tahsis / Ekspertiz İndirim Oranı (%),Azami Finansman Oranı (LTV %),Örnek Senaryo (1.000.000 TL Konut / 120 Ay Kampanyalı Maliyet),Anlaşmalı Sağlık Kurumu / Hastane,Kapsanan Tedavi Türü,Peşin Fiyatına Taksit Sayısı,Kampanyalı Kâr Payı (%)_Sağlık,Asgari - Azami Finansman Tutarı,Doğrudan Kuruma Transfer Şartı,Örnek Senaryo (40.000 TL Tedavi / 12 Ay Taksit),Ekipman Türü,KDV Teşvik Oranı (%),Hasatta Ödeme / Esnek Kira Takvimi,Sübvansiyonlu Kâr Payı / Hazine Desteği,Örnek Senaryo (500.000 TL Ekipman / Yıllık Tek Ödemeli 3 Yıl Leasing),Geçerli Ticari Kart,Sektör Kapsamı,Sonradan Ücretsiz / Kampanyalı Taksit Sayısı,Kâr Paylı Ek Taksit Oranı (%),Aylık / İşlem Başına Ciro / Tutar Sınırı,Örnek Senaryo (50.000 TL Kurumsal Harcamaya 4 Taksit),Banka / Platform,Anlaşmalı Tedarikçi / Toptancı Ağı,Vadesiz / Masrafsız Ödeme Süresi (30-60-90 Gün),Vade Aşımı Kâr Payı Oranı (%),Tanımlanan Esnaf / Müşteri Limiti (TL),Kullanım Kanalı (Barkod / B2B Portal),Örnek Senaryo (20.000 TL Mal Alımı 45 Gün Masrafsız Erteleme),Yatırım Teşvik Belgesi Şartı (Var / Yok),"Finansman Modeli (Müşareke, Mudaraba, İstisna, İcare)",Ödemesiz Anapara Dönemi (Ay/Yıl),Azami Finansman Vadesi,Para Birimi (TL / Döviz),Kâr Payı / Kâr-Zarar Ortaklık Oranı,Örnek Proje Finansmanı Senaryosu
Albaraka Türk,Taksitlio.com Alışveriş Finansmanı,Alışveriş Finansmanı,2026-01-01,2026-12-31,Ayrıca katılım kanalı belirtilmemiş / otomatik,Kredi Kartı,https://albaraka.com.tr/tr/kampanyalar/detay/taksitliocom-alisveris-finansmani,2026-08-10,Kredi Kartı,EVE · Taksitlio · Elektronik · Beyaz Eşya · Mobilya,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,"%2,99","50.000,00 TL / 12 ay senaryosu yayımlanan 6 ay vade sınırını aşıyor",Mobil · Mobil/Uygulama · QR,EVE · Taksitlio · Elektronik · Beyaz Eşya · Mobilya,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,"50.000,00 TL / 12 ay senaryosu yayımlanan 6 ay vade sınırını aşıyor",Kredi Kartı,EVE · Taksitlio · Elektronik · Beyaz Eşya · Mobilya,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,"50.000,00 TL / 12 ay senaryosu yayımlanan 6 ay vade sınırını aşıyor",Bilgi yok – resmî kaynakta yayımlanmamış,6 ay vade,Bilgi yok – resmî kaynakta yayımlanmamış,6 ay,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,"50.000,00 TL / 12 ay senaryosu yayımlanan 6 ay vade sınırını aşıyor",Taksitlio.com,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,"%2,99",Bilgi yok – resmî kaynakta yayımlanmamış,Masraf bilgisi mevcut,"50.000,00 TL / 12 ay senaryosu yayımlanan 6 ay vade sınırını aşıyor","%2,99",Bilgi yok – resmî kaynakta yayımlanmamış,Masraf bilgisi mevcut,6 ay,Bilgi yok – resmî kaynakta yayımlanmamış,Albaraka Mobil Mobil Bankacılık Aç Taksitlio.com Alışveriş Finansmanı Kampanya Başlangıç ve Bitiş 01.01.2026 - 31.12.2026 Müşteri Ol Müşteri Ol Albaraka Türk ve Taksitlio.com İş Birliği ile İhtiyaçlarınızı Ertelemeden Av,"50.000,00 TL / 12 ay senaryosu yayımlanan 6 ay vade sınırını aşıyor",Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,6 ay,"%2,99",Masraf bilgisi mevcut,Bilgi yok – resmî kaynakta yayımlanmamış,"50.000,00 TL / 12 ay senaryosu yayımlanan 6 ay vade sınırını aşıyor",Bilgi yok – resmî kaynakta yayımlanmamış,6 ay,"%2,99",Bilgi yok – resmî kaynakta yayımlanmamış,Masraf bilgisi mevcut,"50.000,00 TL / 12 ay senaryosu yayımlanan 6 ay vade sınırını aşıyor",EVE · Taksitlio · Elektronik · Beyaz Eşya · Mobilya,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,"50.000,00 TL / 12 ay senaryosu yayımlanan 6 ay vade sınırını aşıyor",6 ay vade,EVE · Taksitlio · Elektronik · Beyaz Eşya · Mobilya,"Albaraka Mobil Mobil Bankacılık Aç Taksitlio.com Alışveriş Finansmanı Kampanya Başlangıç ve Bitiş 01.01.2026 - 31.12.2026 Müşteri Ol Müşteri Ol Albaraka Türk ve Taksitlio.com İş Birliği ile İhtiyaçlarınızı Ertelemeden Avantajlı Alışveriş Finansmanı Fırsatı! Türkiye’de katılım bankacılığının öncüsü Albaraka Türk olarak, finansal çözümlerimizi hayatınızın her alanına ulaştırma misyonumuz çerçevesinde çalışmalarımızı sürdürüyoruz. Bu kapsamda, Türkiye'nin önde gelen fiziksel perakende noktalarını bir araya getiren Taksitlio.com ile gerçekleştirdiğimiz güçlü iş birliği sayesinde, alışverişlerinizi kolaylıkla finanse etme imkânı sunuyoruz. Kredi kartı limitlerine takılma endişesi yaşamadan, nakit paranızı kullanma z",Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,"50.000,00 TL / 12 ay senaryosu yayımlanan 6 ay vade sınırını aşıyor",Alışveriş Finansmanı,"%2,99",6 ay,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Albaraka Mobil Mobil Bankacılık Aç Taksitlio.com Alışveriş Finansmanı Kampanya Başlangıç ve Bitiş 01.01.2026 - 31.12.2026 Müşteri Ol Müşteri Ol Albaraka Türk ve Taksitlio.com İş Birliği ile İhtiyaçlarınızı Ertelemeden Av,"%2,99",6 ay,"50.000,00 TL / 12 ay senaryosu yayımlanan 6 ay vade sınırını aşıyor",Alışveriş Finansmanı,"%2,99",Bilgi yok – resmî kaynakta yayımlanmamış,Masraf bilgisi mevcut,Bilgi yok – resmî kaynakta yayımlanmamış,"50.000,00 TL / 12 ay senaryosu yayımlanan 6 ay vade sınırını aşıyor",EVE · Taksitlio · Elektronik · Beyaz Eşya · Mobilya,"Kredi kartı limitlerine takılma endişesi yaşamadan, nakit paranızı kullanma zorunluluğu olmaksızın; elektronikten mobilyaya, beyaz eşyadan küçük ev aletlerine kadar yüzlerce mağazada binlerce ürüne, uygun kâr oranları ve",Bilgi yok – resmî kaynakta yayımlanmamış,"%2,99",Bilgi yok – resmî kaynakta yayımlanmamış,"Taksitlio.com’ un anlaşmalı olduğu 12.500’den fazla mağazadan yapacağınız alışverişleriniz için, Albaraka Türk'ün katılım bankacılığı prensipleriyle sunduğu, taksitli ödeme imkânı sağlayan dijital bir finansman ürünüdür.","50.000,00 TL / 12 ay senaryosu yayımlanan 6 ay vade sınırını aşıyor",EVE · Taksitlio · Elektronik · Beyaz Eşya · Mobilya,Bilgi yok – resmî kaynakta yayımlanmamış,"Taksitlio.com’ un anlaşmalı olduğu 12.500’den fazla mağazadan yapacağınız alışverişleriniz için, Albaraka Türk'ün katılım bankacılığı prensipleriyle sunduğu, taksitli ödeme imkânı sağlayan dijital bir finansman ürünüdür.",Bilgi yok – resmî kaynakta yayımlanmamış,"50.000,00 TL / 12 ay senaryosu yayımlanan 6 ay vade sınırını aşıyor",Kredi Kartı,EVE · Taksitlio · Elektronik · Beyaz Eşya · Mobilya,Bilgi yok – resmî kaynakta yayımlanmamış,"%2,99",Bilgi yok – resmî kaynakta yayımlanmamış,"50.000,00 TL / 12 ay senaryosu yayımlanan 6 ay vade sınırını aşıyor",Albaraka Türk,EVE · Taksitlio · Elektronik · Beyaz Eşya · Mobilya,Bilgi yok – resmî kaynakta yayımlanmamış,"%2,99",Bilgi yok – resmî kaynakta yayımlanmamış,QR · Mobil · Mağaza · Bayi · Kart Limiti,"50.000,00 TL / 12 ay senaryosu yayımlanan 6 ay vade sınırını aşıyor",Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,6 ay,Albaraka Mobil Mobil Bankacılık Aç Taksitlio.com Alışveriş Finansmanı Kampanya Başlangıç ve Bitiş 01.01.2026 - 31.12.2026 Müşteri Ol Müşteri Ol Albaraka Türk ve Taksitlio.com İş Birliği ile İhtiyaçlarınızı Ertelemeden Av,"%2,99","50.000,00 TL / 12 ay senaryosu yayımlanan 6 ay vade sınırını aşıyor"
Albaraka Türk,Albaraka\u0027da Masraflara Son!,Diğer Kampanya,2020-01-01,2026-12-31,Ayrıca katılım kanalı belirtilmemiş / otomatik,Bilgi yok – resmî kaynakta yayımlanmamış,https://albaraka.com.tr/tr/kampanyalar/detay/albarakada-masraflara-son,2026-08-10,Kredi Kartı,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – bu kampanya için güvenli sayısal örnek senaryo türetilemedi,Mobil · İnternet/Web · Şube,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – bu kampanya için güvenli sayısal örnek senaryo türetilemedi,Kredi Kartı,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – bu kampanya için güvenli sayısal örnek senaryo türetilemedi,Bilgi yok – resmî kaynakta yayımlanmamış,Albaraka Mobil Mobil Bankacılık Aç Albaraka'da Masraflara Son! Kampanya Başlangıç ve Bitiş 01.01.2020 - 31.12.2026 Albaraka Türk olarak dijitalleşen dünyada müşterilerimizin finans,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,"Masrafsız Para Transferi Albaraka Mobil, İnternet Şube ve Albaraka ATM’lerinde yurt içi bankalar arası TL para birimi EFT, Havale ve FAST işlemleri ücretsizdir.",Masrafsız Banka ve Kredi Kartı Debit Kartlar ve Kredi Kartı için aidat veya ücret ödenmez.,Bilgi yok – bu kampanya için güvenli sayısal örnek senaryo türetilemedi,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – bu kampanya için güvenli sayısal örnek senaryo türetilemedi,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,"Mobil, İnternet Şubesi ve ATM' lerden Ücretsiz Yapabileceğiniz Diğer İşlemler EFT, Havale, FAST İşlemleri Kredi Kartı Ödemeleri Vergi Ödemeleri SGK Ödemeleri Döviz Alış / Satış TL Yükleme İşlemi Diyanet Ödemeleri Konut Ö",Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – bu kampanya için güvenli sayısal örnek senaryo türetilemedi,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – bu kampanya için güvenli sayısal örnek senaryo türetilemedi,"Mobil, İnternet Şubesi ve ATM' lerden Ücretsiz Yapabileceğiniz Diğer İşlemler EFT, Havale, FAST İşlemleri Kredi Kartı Ödemeleri Vergi Ödemeleri SGK Ödemeleri Döviz Alış / Satış TL Yükleme İşlemi Diyanet Ödemeleri Konut Ö",Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,"Mobil, İnternet Şubesi ve ATM' lerden Ücretsiz Yapabileceğiniz Diğer İşlemler EFT, Havale, FAST İşlemleri Kredi Kartı Ödemeleri Vergi Ödemeleri SGK Ödemeleri Döviz Alış / Satış TL Yükleme İşlemi Diyanet Ödemeleri Konut Ö",Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – bu kampanya için güvenli sayısal örnek senaryo türetilemedi,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – bu kampanya için güvenli sayısal örnek senaryo türetilemedi,Albaraka Mobil Mobil Bankacılık Aç Albaraka'da Masraflara Son! Kampanya Başlangıç ve Bitiş 01.01.2020 - 31.12.2026 Albaraka Türk olarak dijitalleşen dünyada müşterilerimizin finans,Bilgi yok – resmî kaynakta yayımlanmamış,"Albaraka Mobil Mobil Bankacılık Aç Albaraka'da Masraflara Son! Kampanya Başlangıç ve Bitiş 01.01.2020 - 31.12.2026 Albaraka Türk olarak dijitalleşen dünyada müşterilerimizin finansal ihtiyaçlarına çözüm üretmenin tutkusuyla masrafsız bir bankacılık sunuyoruz. Siz de görüntülü görüşme ile hemen Albarakalı olabilir, mobil şube ve internet şube üzerinden işlemlerinizi gerçekleştirebilir, masrafsız bankacılığın keyfini çıkarabilirsiniz. Müşteri Ol Masrafsız Hesap Albaraka Türk’te açılacak TL, Döviz veya Altın tüm cari ve katılma hesaplarından hiçbir koşul gerektirmeksizin hesap işletim ücreti tahsil edilmeyecektir. Masrafsız Para Transferi Albaraka Mobil, İnternet Şube ve Albaraka ATM’lerinde yurt içi bankalar aras",Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – bu kampanya için güvenli sayısal örnek senaryo üretilemedi,Albaraka Mobil Mobil Bankacılık Aç Albaraka'da Masraflara Son! Kampanya Başlangıç ve Bitiş 01.01.2020 - 31.12.2026 Albaraka Türk olarak dijitalleşen dünyada müşterilerimizin finans,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,"Mobil, İnternet Şubesi ve ATM' lerden Ücretsiz Yapabileceğiniz Diğer İşlemler EFT, Havale, FAST İşlemleri Kredi Kartı Ödemeleri Vergi Ödemeleri SGK Ödemeleri Döviz Alış / Satış TL Yükleme İşlemi Diyanet Ödemeleri Konut Ö",Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – bu kampanya için güvenli sayısal örnek senaryo türetilemedi,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,"Mobil, İnternet Şubesi ve ATM' lerden Ücretsiz Yapabileceğiniz Diğer İşlemler EFT, Havale, FAST İşlemleri Kredi Kartı Ödemeleri Vergi Ödemeleri SGK Ödemeleri Döviz Alış / Satış TL Yükleme İşlemi Diyanet Ödemeleri Konut Ö",Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – bu kampanya için güvenli sayısal örnek senaryo türetilemedi,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,"Mobil, İnternet Şubesi ve ATM' lerden Ücretsiz Yapabileceğiniz Diğer İşlemler EFT, Havale, FAST İşlemleri Kredi Kartı Ödemeleri Vergi Ödemeleri SGK Ödemeleri Döviz Alış / Satış TL Yükleme İşlemi Diyanet Ödemeleri Konut Ö",Bilgi yok – bu kampanya için güvenli sayısal örnek senaryo türetilemedi,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,"Mobil, İnternet Şubesi ve ATM' lerden Ücretsiz Yapabileceğiniz Diğer İşlemler EFT, Havale, FAST İşlemleri Kredi Kartı Ödemeleri Vergi Ödemeleri SGK Ödemeleri Döviz Alış / Satış TL Yükleme İşlemi Diyanet Ödemeleri Konut Ö",Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – bu kampanya için güvenli sayısal örnek senaryo türetilemedi,Kredi Kartı,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – bu kampanya için güvenli sayısal örnek senaryo türetilemedi,Albaraka Türk,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Mobil · Web / İnternet · Kart Limiti · Şube,Bilgi yok – bu kampanya için güvenli sayısal örnek senaryo türetilemedi,Bilgi yok – resmî kaynakta yayımlanmamış,"Mobil, İnternet Şubesi ve ATM' lerden Ücretsiz Yapabileceğiniz Diğer İşlemler EFT, Havale, FAST İşlemleri Kredi Kartı Ödemeleri Vergi Ödemeleri SGK Ödemeleri Döviz Alış / Satış TL Yükleme İşlemi Diyanet Ödemeleri Konut Ö",Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,"Müşteri Ol Masrafsız Hesap Albaraka Türk’te açılacak TL, Döviz veya Altın tüm cari ve katılma hesaplarından hiçbir koşul gerektirmeksizin hesap işletim ücreti tahsil edilmeyecektir.",Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – bu kampanya için güvenli sayısal örnek senaryo türetilemedi
